nafion membrane production;RER;kilogram;nafion membrane
vanadium slag production;ZA;kilogram;vanadium slag
EV charger, level 3, plugin, 200 kW;RER;unit;EV charger, level 3, plugin, 200 kW
EV charger, level 3, with pantograph, 450 kW;RER;unit;EV charger, level 3, with pantograph, 450 kW
assembly operation, for lorry;RER;kilogram;assembly operation, for lorry
biodiesel, from algae, at fuelling station;RER;kilogram;biodiesel, vehicle grade
biodiesel, from palm oil, at fuelling station;ID;kilogram;biodiesel, vehicle grade
biodiesel, from rapeseed oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
biodiesel, from used cooking oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
biomethane, gaseous, 5 bar, from sewage sludge fermentation, at fuelling station;RER;kilogram;biomethane, high pressure
catenary system;RER;kilometer;catenary system
diesel production, synthetic, from Fischer Tropsch process, hydrogen from coal gasification, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from coal gasification, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from coal gasification, with CCS, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from coal gasification, with CCS, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from electrolysis, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from electrolysis, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from wood gasification, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from wood gasification, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from wood gasification, with CCS, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from Fischer Tropsch process, hydrogen from wood gasification, with CCS, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from coal gasification, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from coal gasification, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from coal gasification, with CCS, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from coal gasification, with CCS, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from electrolysis, CO2 from cement plant, economic allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
diesel production, synthetic, from methanol, hydrogen from electrolysis, CO2 from cement plant, energy allocation, at fuelling station;RER;kilogram;diesel, synthetic, vehicle grade
electric bicycle production, without battery and motor;RER;unit;electric bicycle, without battery and motor
electricity production, at biomass-fired IGCC power plant, pre, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
electricity production, at biomethane-fired power plant, post, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
electricity production, at hard coal-fired power plant, post, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
