time (s);Kick-scooter;Bicycle <25km;Bicycle <45km;Bicycle cargo;Moped <4kW;Scooter <4kW;Scooter 4-11kW;Motorcycle 4-11kW;Motorcycle 11-35kW;Motorcycle >35kW
1;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0
22;0.2;0.4;0.4;0.4;1;1;1;1;1;1
23;0.52;1.04;1.04;1.04;2.6;2.6;2.6;2.6;2.6;2.6
24;0.96;1.92;1.92;1.92;4.8;4.8;4.8;4.8;4.8;4.8
25;1.44;2.88;2.88;2.88;7.2;7.2;7.2;7.2;7.2;7.2
26;1.92;3.84;3.84;3.84;9.6;9.6;9.6;9.6;9.6;9.6
27;2.4;4.8;4.8;4.8;12;12;12;12;12;12
28;2.86;5.72;5.72;5.72;14.3;14.3;14.3;14.3;14.3;14.3
29;3.32;6.64;6.64;6.64;16.6;16.6;16.6;16.6;16.6;16.6
30;3.78;7.56;7.56;7.56;18.9;18.9;18.9;18.9;18.9;18.9
31;4.24;8.48;8.48;8.48;21.2;21.2;21.2;21.2;21.2;21.2
32;4.7;9.4;9.4;9.4;23.5;23.5;23.5;23.5;23.5;23.5
33;5.12;10.24;10.24;10.24;25.6;25.6;25.6;25.6;25.6;25.6
34;5.42;10.84;10.84;10.84;27.1;27.1;27.1;27.1;27.1;27.1
35;5.6;11.2;11.2;11.2;28;28;28;28;28;28
36;5.74;11.48;11.48;11.48;28.7;28.7;28.7;28.7;28.7;28.7
37;5.84;11.68;11.68;11.68;29.2;29.2;29.2;29.2;29.2;29.2
38;5.96;11.92;11.92;11.92;29.8;29.8;29.8;29.8;29.8;29.8
39;6.06;12.12;12.12;12.12;30.3;30.3;30.3;30.3;30.3;30.3
40;5.92;11.84;11.84;11.84;29.6;29.6;29.6;29.6;29.6;29.6
41;5.74;11.48;11.48;11.48;28.7;28.7;28.7;28.7;28.7;28.7
42;5.58;11.16;11.16;11.16;27.9;27.9;27.9;27.9;27.9;27.9
43;5.5;11;11;11;27.5;27.5;27.5;27.5;27.5;27.5
44;5.46;10.92;10.92;10.92;27.3;27.3;27.3;27.3;27.3;27.3
45;5.46;10.92;10.92;10.92;27.3;27.3;27.3;27.3;27.3;27.3
46;5.48;10.96;10.96;10.96;27.4;27.4;27.4;27.4;27.4;27.4
47;5.5;11;11;11;27.5;27.5;27.5;27.5;27.5;27.5
