name;location;categories;unit;reference product;name ei39;location ei39;ei39 categories;unit ei39;reference product ei39
market for anode, graphite, for lithium-ion battery;GLO;;kilogram;anode, graphite, for lithium-ion battery;market for anode, graphite, for Li-ion battery;CN;;kilogram;anode, graphite, for Li-ion battery
treatment of wastewater, average, capacity 1E9l/year;Europe without Switzerland;;cubic meter;wastewater, average;treatment of wastewater, average, wastewater treatment;Europe without Switzerland;;cubic meter;wastewater, average
NMVOC, non-methane volatile organic compounds, unspecified origin;;air;kilogram;;NMVOC, non-methane volatile organic compounds;;air;kilogram;
Cadmium;;soil::agricultural;kilogram;;Cadmium II;;soil::agricultural;kilogram;
Cadmium, ion;;water::ground-;kilogram;;Cadmium II;;water::ground-;kilogram;
Cadmium, ion;;water::surface water;kilogram;;Cadmium II;;water::surface water;kilogram;
Chromium;;soil::agricultural;kilogram;;Chromium III;;soil::agricultural;kilogram;
Chromium, ion;;water::ground-;kilogram;;Chromium III;;water::ground-;kilogram;
Chromium, ion;;water::surface water;kilogram;;Chromium III;;water::surface water;kilogram;
Copper;;soil::agricultural;kilogram;;Copper ion;;soil::agricultural;kilogram;
Lead;;soil::agricultural;kilogram;;Lead II;;soil::agricultural;kilogram;
Lead;;water::ground-;kilogram;;Lead II;;water::ground-;kilogram;
Lead;;water::surface water;kilogram;;Lead II;;water::surface water;kilogram;
Mercury;;soil::agricultural;kilogram;;Mercury II;;soil::agricultural;kilogram;
Mercury;;water::ground-;kilogram;;Mercury II;;water::ground-;kilogram;
Mercury;;water::surface water;kilogram;;Mercury II;;water::surface water;kilogram;
Nickel;;soil::agricultural;kilogram;;Nickel II;;soil::agricultural;kilogram;
Nickel, ion;;water::ground-;kilogram;;Nickel II;;water::ground-;kilogram;
Nickel, ion;;water::surface water;kilogram;;Nickel II;;water::surface water;kilogram;
Zinc;;soil::agricultural;kilogram;;Zinc II;;soil::agricultural;kilogram;
Zinc, ion;;water::ground-;kilogram;;Zinc II;;water::ground-;kilogram;
Zinc, ion;;water::surface water;kilogram;;Zinc II;;water::surface water;kilogram;
Tebupirimphos;;soil::agricultural;kilogram;;Tebupirimfos;;soil::agricultural;kilogram;
Iprodion;;soil::agricultural;kilogram;;Iprodione;;soil::agricultural;kilogram;
Quizalofop ethyl ester;;soil::agricultural;kilogram;;Quizalofop-ethyl;;soil::agricultural;kilogram;
Pyraclostrobin (prop);;soil::agricultural;kilogram;;Pyraclostrobin;;soil::agricultural;kilogram;
[Deleted]Carfentrazone ethyl ester;;soil::agricultural;kilogram;;Carfentrazone-ethyl;;soil::agricultural;kilogram;
treatment of wastewater, average, capacity 1E9l/year;CH;;cubic meter;wastewater, average;treatment of wastewater, average, wastewater treatment;CH;;cubic meter;wastewater, average
market for concrete, sole plate and foundation;CH;;cubic meter;concrete, sole plate and foundation;market for concrete, normal strength;CH;;cubic meter;concrete, normal strength
market for concrete, normal;RoW;;cubic meter;concrete, normal;market for concrete, normal strength;RoW;;cubic meter;concrete, normal strength
Hydrogen chloride;;air::non-urban air or from high stacks;kilogram;;Hydrochloric acid;;air::non-urban air or from high stacks;kilogram;
